"Timestamp","1) Full Name","2) Email Address","3) Stellar Wallet Address","4) Rate Your Experience (1 to 5)","5) Your Feedback / Suggestions"
"2026/04/12 04:50:12 PM GMT+5:30","Rohan Kamble","rohan.kamble.dev@gmail.com","GEE2F3G4H5I6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8","5","Smooth token swap and clean dashboard"
"2026/04/13 11:20:00 AM GMT+5:30","Ananya Joshi","ananyajoshi.web3@gmail.com","GFF3G4H5I6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9","5","Best Soroban raffle dApp I have tested"
"2026/04/13 03:10:45 PM GMT+5:30","Nikhil Thorat","nikhilthorat77@gmail.com","GGG4H5I6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0","5","The odds calculator is very helpful"
"2026/04/14 10:05:30 AM GMT+5:30","Divya Rane","divyarane2006@gmail.com","GHH5I6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1","4","Love the dark glassmorphic design"
"2026/04/14 06:40:15 PM GMT+5:30","Siddhesh Sawant","siddhesh.sawant95@gmail.com","GII6J7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2","5","Verifiable random draws give full trust"
"2026/04/15 01:15:50 PM GMT+5:30","Deepak Mane","deepakmane.crypto@gmail.com","GJJ7K8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3","5","Super fast payments and zero friction"
"2026/04/15 08:25:10 PM GMT+5:30","Isha Bhandari","ishabhandari04@gmail.com","GKK8L9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4","5","Awesome experience connecting via Albedo"
"2026/04/16 11:00:22 AM GMT+5:30","Omkar Bhosale","omkarbhosale321@gmail.com","GLL9M0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5","4","Very intuitive UI for Web3 beginners"
"2026/04/16 04:35:18 PM GMT+5:30","Mansi Chavan","mansichavan88@gmail.com","GMM0N1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5M6","5","Winner's Circle win-card generator is great"
"2026/04/17 09:45:00 AM GMT+5:30","Tushar Shinde","tushar.shinde.dev@gmail.com","GNN1O2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5M6N7","5","Multi-wallet support is extremely convenient"
"2026/04/17 02:10:33 PM GMT+5:30","Gayatri Kadam","gayatrikadam05@gmail.com","GOO2P3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5M6N7O8","5","Impressive project build quality"
"2026/04/18 10:30:15 AM GMT+5:30","Pranav Kulkarni","pranav.kulkarni.web3@gmail.com","GPP3Q4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5M6N7O8P9","5","Tested on testnet, 100% working as expected"
"2026/04/18 05:15:40 PM GMT+5:30","Radhika Salunkhe","radhikalunke22@gmail.com","GQQ4R5S6T7U8V9W0X1Y2Z3A4B5C6D7E8F9G0H1I2J3K4L5M6N7O8P9Q0","5","Best Soroban dApp project!"
